"id","tiny_name","name","code","width","height","external_id"
"636b5cb93f760-9749",NesCRW.190,"NESCAFE Classic Кофе раствор с добав мол арабика д/п:8, зиплок, .190",nescafe_classic_rastvorimyy_wrp,16.00,24.00,"1000270450"
"636b5cb9ce6b1-5597",NesCRW.060,"NESCAFE Classic Кофе натур раств 60г д/п(Нестле):12, зиплок, .060",nescafe_classic_rastvorimyy_60g_wrp,12.50,17.50,"1000271035"
"636b5decd0a63-6143",MokMRJ.095,"МОККО Кофе нат раст субл 95г ст/б (МКП):6, Стеклянная банка, .095",moskovskaya_kofeynya_na_payah_mokko_rastvorimyy_jar,8.15,15.67,"1000273925"
"636b5569670bf-2403",FreABJ.100,"FRESCO Arabica blend Кофе раствор сублим ст/бан(Слав):6, Стеклянная банка, .100",fresco_arabica_blend_rastvorimyy_jar,8.50,15.50,"1000277468"
"636b5887a1b43-4963",LorELC10PC,"LOR Espresso Lungo Profondo Кофе натурал 52г к/уп(Якобс):10, коробка, 10PC",lor_espresso_lungo_profondo_kapsuly_box,7.90,15.50,"1000281648"
"636b55622726e-1512",BarPBW1.0,"BARISTA Pro Bar Кофе натур зерн 1кг ст/бэг(АВД Продакшен):6, зиплок, 1.000",barista_pro_bar_zernovoy_wrp,13.50,35.00,"1000282817"
abcc2a5e-0226-4dc8-a380-122a144751a9,___MEW.100,"MEHMET EFENDI Кофе жареный мол 100г фл/п:25, зиплок, .100",mehmet_efendi_molotyij_100g_wrp,11.80,17.00,"1000284974"
"636b58823ee5c-9522",JarACW1.0,"JARDIN Americano Crema Кофе зерновой стаб/бэг (Орими):6, зиплок, 1.000",jardin_americano_crema_zernovoy_wrp,16.40,29.50,"1000304443"
"636b5561a2dd6-7495",AmbNZW1.0,"AMBASSADOR Nero Кофе зерновой натур 1кг стаб/бэг (Штраус):6, зиплок, 1.000",ambassador_nero_zernovoy_wrp,16.50,24.00,"1000304793"
"641b204052d93-8267",Nes__W.220,"NESCAFE Gold Кофе нат раствор сублим д/п(Нестле):8, зиплок, .220",nescafe_gold_rastvorimyy_wrp,17.00,26.00,"1000306706"
"636b5569242a2-9005",FreASW.200,"FRESCO Arabica Кофе натур зерновой жар стаб/бэг(Слав):8, зиплок, .200",fresco_arabica_solo_zernovoy_wrp,9.50,21.00,"1000309032"
"636b55693887e-3260",FreASW.200,"FRESCO Arabica Кофе натур молотый жар 200г стаб/бэг(Слав):8, зиплок, .200",fresco_arabica_solo_molotyy_wrp,9.50,21.00,"1000309033"
"636b5882e244a-3753",JarVKC10PC,"JARDIN Vanillia Кофе молотый 10капс 50г к/уп(Орими):10, коробка, 10PC",jardin_vanillia_kapsuly_box,7.90,15.70,"1000309100"
"636b5dec2311a-9722",MokAZW1.0,"МОСКОВСКАЯ КОФЕЙНЯ НА ПАЯХЪ Кофе арабика нат зерна :4, зиплок, 1.000",moskovskaya_kofeynya_na_payah_arabika_zernovoy_wrp,13.00,30.00,"1000312741"
"636b5568f0282-1982",FreASW1.0,"FRESCO Arabica Кофе натур зерновой жар стаб/бэг(Слав):8, зиплок, 1.000",fresco_arabica_solo_zernovoy_wrp,16.00,29.00,"1000339191"
"636b5cb91d2cc-8452",NesGAJ.085,"NESCAFE Gold Aroma Intenso Кофе сублимир ст/бан:6, Стеклянная банка, .085",nescafe_gold_aroma_intenso_rastvorimyy_jar,6.65,15.90,"1000341773"
"636b55646902f-7239",CarERJ.095,"CARTE NOIRE Elegant Кофе натур сублим 95г ст/бан(Якобс):6, Стеклянная банка, .095",carte_noire_elegant_rastvorimyy_jar,7.70,15.50,"1000358164"
"636b5cb8e6fa4-8007",NesCCW.120,"NESCAFE Classic Crema Кофе натур раствор 120г(Нестле):8, зиплок, .120",nescafe_classic_crema_rastvorimyy_wrp,14.00,22.50,"1000371456"
"636b5cb8b7274-7695",NesCRW.320,"NESCAFE Classic Кофе раствор с добав мол арабика д/п:8, зиплок, .320",nescafe_classic_rastvorimyy_wrp,19.00,27.50,"1000371667"
"636b5cb824cbe-6749",NesGAJ.170,"NESCAFE Gold Aroma Intenso Кофе сублимир ст/бан:6, Стеклянная банка, .170",nescafe_gold_aroma_intenso_rastvorimyy_jar,8.47,18.80,"1000380454"
"636b55624a27f-3468",BarMBW.225,"BARISTA Mio Баланс Кофе натур жар молотый 225г:12, зиплок, .225",barista_mio_balance_molotyy_wrp,8.00,14.00,"1000381437"
"636b58806127c-5793",JacCRJ.095,"JACOBS Caramel Кофе растворимый Карамель 95г ст/бан:6, Стеклянная банка, .095",jacobs_caramel_rastvorimyy_jar,7.40,15.20,"1000384116"
"636b587f3461f-4273",JacMRJ.270,"JACOBS MONARCH Кофе растворимый ст/б:6, Стеклянная банка, .270",jacobs_monarch_rastvorimyy_jar,10.40,19.40,"1000385874"
"636b588092035-7289",JacL8C10PC,"MONARCH Lungo 8 Intenso Кофе жареный молотый 52г 10шт:10, коробка, 10PC",jacobs_lungo_8_intenso_kapsuly_box,7.90,15.50,"1000385877"
"6509e0c1f1dd3-4365",Fre__W1.000,"FRESCO Arabica Barista Кофе натур жар в зернах 1000г:5, зиплок, 1.000",fresco_arabica_barista_zernovoi_1kg_wrp,16.00,29.50,"1000388607"
"636b556a015f5-6392",GusRAJ.095,"GUSTO di ROMA Кофе сублимированный 95г ст/бан (Россия):6, Стеклянная банка, .095",gusto_di_roma__stm__rastvorimyy_jar,7.30,15.00,"1000400753"
"636b55697ffec-7871",GusZEW1.0,"GUSTO di ROMA Кофе натур зерн стаб/бэг(Россия):5, зиплок, 1.000",gusto_di_roma__stm__zernovoy_wrp,13.50,29.00,"1000401817"
"636b5569df85b-7157",GusZEW.200,"GUSTO di ROMA Кофе натур зерн стаб/бэг(Россия):5, зиплок, .200",gusto_di_roma__stm__zernovoy_wrp,11.30,21.00,"1000401818"
"636b5dee05e95-8352",Moy__W.100,"МОЯ ЦЕНА Кофе натур молотый 100г фл/п(Россия):12, зиплок, .100",moya_tsena__stm__molotyy_wrp,12.00,16.00,"1000401819"
"636b5569c6422-1626",GusMOW.200,"GUSTO di ROMA Кофе натуральн молотый200г стаб/бэг(Россия):6, зиплок, .200",gusto_di_roma__stm__molotyy_wrp,11.30,21.00,"1000401820"
"636b556239152-5640",BarMSW.225,"BARISTA MIO Кофе Крепкий нат жареный молотый 225г ст/бэг:12, зиплок, .225",barista_mio_strong_molotyy_wrp,8.00,14.50,"1000413459"
